,Project ID,Project Name,Project Type,Project Subtype,Country Name,Country Code (ISO3),Region,Decision to Build or FBC (YYYY),Completion/Opening (YYYY),Completion/Opening (DD/MM/YYYY),"Actual Cost, millions (local currency)","Currency, Year (Actual Cost)",Mainline Length (km),Number of Stations (Rail only)
14,10094,Lille VAL RT,Rail,Metro,France,FRA,Europe,,1988,1/1/1988,1624.0,"USD, 2002",,
15,10414,Marseille Line 1 extension,Rail,Metro,France,FRA,Europe,,2006,1/1/2006,175.4,"EUR, 2006",2.5,4
16,10938,"San Francisco Colma BART station, 1988-1996",Rail,Heavy Rail,United States of America,USA,North America,1988.0,1996,2/1/1996,179.9,"USD, 1996",1.5,1
17,11499,Houston Red Line (Original),Rail,Light Rail Transit,United States of America,USA,North America,,2004,1/1/2004,324.0,"USD, 2003",12.1,16
18,11508,Karlsruhe Bretten light rail,Rail,Light rail,Germany,DEU,Europe,1981.0,1992,9/1/1992,23.00813465,"EUR, 1995",28.2,8
19,11509,Karlsruhe Stutensee light rail,Rail,Light rail,Germany,DEU,Europe,1991.0,1997,1/1/1997,18.40650772,"EUR, 1995",,
20,11510,Houston Red Line Extension,Rail,Light Rail Transit,United States of America,USA,North America,2009.0,2013,12/1/2013,756.0,"USD, 2011",8.5,8
21,11511,"Kävlinge–Lund, 2005",Rail,Conventional,Sweden,SWE,Europe,1994.0,2005,1/1/2005,962.0,"SEK, 2005",,
22,11519,"Kolbäck, 2007",Rail,Shunting yard,Sweden,SWE,Europe,1998.0,2007,1/1/2007,287.3,"SEK, 2007",,
23,11520,Kowloon Souther Link (KSL),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,,2009,8/16/2009,1386.104419,"HKD, 2009",3.8,3
24,11526,"Kuala Lumpur, Ampang Line, 1996/1998 (Star, Kuala Lumpur)",Rail,Conventional,Malaysia,MYS,Asia,,1996,12/1/1996,,,27,
25,11527,"Kuala Lumpur, Kelana Jaya Line, 1998 (Putra LRT, Kuala Lumpur)",Rail,Conventional,Malaysia,MYS,Asia,,1998,9/1/1998,,,29,37
26,11528,"Kuala Lumpur, Klia Airport Express, 1990-2002 (Kuala Lumpur)",Rail,Airport rail link,Malaysia,MYS,Asia,1990.0,2002,4/1/2002,,,57,3
27,11530,Kusfors,Rail,Conventional,Sweden,SWE,Europe,1989.0,1994,1/1/1994,191.0,"SEK, 1994",,
28,11531,Kust till kustbanan,Rail,Conventional,Sweden,SWE,Europe,,1994,1/1/1994,,,,
29,11532,Leipzig City Tunnel,Rail,Metro,Germany,DEU,Europe,2003.0,2013,12/1/2013,960.0,"EUR, 2008",3.6,4
30,11534,Kwun Tong Line Extension (KTE),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,2011.0,2016,11/23/2016,7200.0,"HKD, 2016",2.6,2
31,11541,Lantau Airport Railway (LAR),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,1994.0,1998,,7376.816799,,34.8,9
32,11558,Lee08 01,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
33,11565,Los Angeles  Gold Line - LA to Pasadena,Rail,Light Rail Transit,United States of America,USA,North America,2000.0,2003,7/1/2003,721.0,"USD, 2002",22.1,13
34,11570,Lee08 02,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
35,11576,Los Angeles  Gold Line Foothill Extension Phase 2A,Rail,Light Rail Transit,United States of America,USA,North America,2010.0,2016,3/1/2016,714.0,"USD, 2013",18.5,6
36,11582,Lee08 03,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
37,11587,Los Angeles Expo Line Phase 1,Rail,Light Rail Transit,United States of America,USA,North America,2006.0,2012,4/1/2012,960.0,"USD, 2009",13.8,10
38,11594,Lee08 04,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
39,11598,Los Angeles Expo Line Phase 2,Rail,Light Rail Transit,United States of America,USA,North America,2011.0,2016,5/1/2016,1288.0,"USD, 2014",10.6,7
40,11606,Lee08 05,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
41,11610,Los Angeles Green Line,Rail,Light Rail Transit,United States of America,USA,North America,,1995,8/1/1995,718.0,"USD, 1993",31.4,14
42,11619,Lee08 06,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
43,11621,Los Angeles Red (B) Line Phase 2A and 2B,Rail,Heavy Rail,United States of America,USA,North America,,1999,6/1/1999,1687.0,"USD, 1994",10.7,8
44,11631,Lee08 07,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
45,11632,Los Angeles Red (B) Line Phase 3,Rail,Heavy Rail,United States of America,USA,North America,,2000,6/1/2000,1240.0,"USD, 1997",10.4,3
46,11643,Lyon Line A to Vaulx (extension from Laurent Bonnevay to Vaulx),Rail,Metro,France,FRA,Europe,2005.0,2007,10/1/2007,53.0,"EUR, 2006",1,1
47,11644,Lee08 08,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
48,11654,"Lyon Line B (extension from Stade de Gerland to Oullins, incl. tunnel under Rhone)",Rail,Metro,France,FRA,Europe,,2013,12/1/2013,222.0,"EUR, 2011",1.7,1
49,11656,Lee08 09,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
50,11665,Lyon Line T1,Rail,Metro,France,FRA,Europe,,2001,1/1/2001,178.0,"EUR, 2000",9.5,22
51,11669,Lee08 10,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
52,11676,Lyon Line T2,Rail,Metro,France,FRA,Europe,,2001,1/1/2001,202.0,"EUR, 2000",10,20
53,11681,Lee08 11,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
54,11687,Madrid 1995-98 program,Rail,Metro,Spain,ESP,Europe,1995.0,1999,3/1/1999,1569.0,"USD, 1997",56.3,34
55,11693,Lee08 12,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
56,11698,Madrid 1999-2003 program,Rail,Metro,Spain,ESP,Europe,1999.0,2003,3/1/2003,3157.0,"EUR, 2001",74.7,39
57,11705,Lee08 13,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
58,11709,Madrid Chamartin-Atocha tunnel,Rail,Conventional,Spain,ESP,Europe,2003.0,2008,7/1/2008,550.0,"EUR, 2006",7.5,3
59,11716,Lee08 14,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
60,11717,Lee08 15,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
61,11718,Lee08 16,Rail,"5 conv, 1 hsr, 10 subway",Republic of Korea,KOR,Asia,,,,,,,
62,11721,Madrid Line 2 extension,Rail,Metro,Spain,ESP,Europe,,2011,3/1/2011,315.0,"EUR, 2010",4.6,4
63,11722,Leiden-Den Haag Mariahoeve 4-sporig fase2,Rail,Conventional,Netherlands,NLD,Europe,1992.0,1998,1/1/1998,129.02,"EUR, 1995",11.5,
64,11723,"Lekarekulle–Frillesås, 2005",Rail,Conventional,Sweden,SWE,Europe,1994.0,2005,1/1/2005,635.0,"SEK, 2005",9.13,
65,11729,"Liempde-Eindhoven, 4-sporig",Rail,Conventional,Netherlands,NLD,Europe,1996.0,2002,1/1/2002,241.6,"EUR, 1995",16.5,
66,11732,Madrid Line 9 extension,Rail,Metro,Spain,ESP,Europe,2009.0,2015,3/1/2015,191.0,"EUR, 2012",3,2
67,11734,"Lindenwold transit, 1962-1970",Rail,Conventional,United States of America,USA,North America,1962.0,1970,1/1/1970,125.8,"USD, 1970",,
68,11737,"Liupanshui-Shuicheng Guizhou Shuibai Line, 1998-2004",Rail,Conventional,China,CHN,Asia,1998.0,2004,12/1/2004,3003.7,"CNY, 1998",118.6,
69,11740,"London Jubilee Line extension, 1993-1999",Rail,Metro,United Kingdom,GBR,Europe,1991.0,1999,12/1/1999,3600.0,"GBP, 2008",16,13
70,11742,"London Victoria line, questionnaire",Rail,Metro,United Kingdom,GBR,Europe,1955.0,1972,11/1/1972,70.0,"GBP, 1962",21,16
71,11743,Madrid ML1,Rail,Metro,Spain,ESP,Europe,,2007,5/1/2007,277.0,"EUR, 2006",5.4,9
72,11744,London-Heathrow; Heathrow Express (110930 cantarelli em flyvbjerg),Rail,Airport rail link,United Kingdom,GBR,Europe,,1998,1/1/1998,350.0,GBP 1998,26.55,
73,11748,"Los Angeles Blue Line, 1984-1990",Rail,Light rail,United States of America,USA,North America,1984.0,1990,7/1/1990,877.0,"USD, 1987",33.8,22
74,11749,"Los Angeles Red Line (MOS 1), 1983-1993; 110804 krause em bf;",Rail,Conventional,United States of America,USA,North America,1983.0,1993,1/1/1993,1490.0,"USD, 1991",7.2,5
75,11750,"Los Angeles Red Line (MOS 2), 1983-1996; 110804 krause em bf;",Rail,Conventional,United States of America,USA,North America,1983.0,1996,1/1/1996,1920.0,"USD, 1994",10,8
76,11751,"Los Angeles Red Line (MOS 3), 1983-1997; 110804 krause em bf;",Rail,Conventional,United States of America,USA,North America,1983.0,1997,1/1/1997,1230.0,"USD, 1995",10.1,
77,11752,"Los Angeles-Pasadena Gold Line, 1993-2003; 110804 krause em bf; DOUBLET, PREFFERED DATAPOINT",Rail,Conventional,United States of America,USA,North America,1993.0,2003,1/1/2003,677.6,"USD, 2001",31.7,21
78,11754,Madrid ML2,Rail,Metro,Spain,ESP,Europe,,2007,7/1/2007,283.0,"EUR, 2006",8.7,13
79,11758,Lyon Line D,Rail,Metro,France,FRA,Europe,,1991,1/1/1991,1113.0,"USD, 2002",14,15
80,11759,Lysaker stasjon,Rail,Conventional,Norway,NOR,Europe,,,1/1/2005,1156.0,"NOK, 2013",,
81,11765,Madrid ML3,Rail,Metro,Spain,ESP,Europe,,2007,7/1/2007,286.0,"EUR, 2006",13.7,14
82,11776,Madrid Parla Tram (ML4),Rail,Metro,Spain,ESP,Europe,,2008,5/1/2008,140.0,"EUR, 2007",8.4,15
83,11787,Malaga Lines 1-2,Rail,Metro,Spain,ESP,Europe,,2014,7/1/2014,870.0,"EUR, 2010",11.3,17
84,11820,Manchester Eccles Line,Rail,Light Rail Transit,United Kingdom,GBR,Europe,1997.0,2000,9/1/2000,160.0,"GBP, 1999",6.4,11
85,11832,Miami AirportLink metrorail,Rail,Heavy Rail,United States of America,USA,North America,,2012,7/1/2012,506.0,"USD, 2011",3.8,1
86,11836,Ma On Shan Rail,Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,2001.0,2004,12/21/2004,3747.557658,"HKD, 2004",11.4,
87,11843,Milan Line 5 phase 1,Rail,Metro,Italy,ITA,Europe,2007.0,2013,2/1/2013,557.0,"EUR, 2013",6.1,9
88,11848,"Manila Metrostar Express, 1996-1999/2000 (MRT-3) (, Manila)",Rail,Light Rail Transit,Philippines,PHL,Asia,1996.0,2000,7/20/2000,2920.0,"PHP, 2001",16.8,13
89,11849,"Manila LRT 2, 1995-2003",Rail,Light Rail Transit,Philippines,PHL,Asia,1995.0,2003,4/5/2003,346.37,"PHP, 2009",17.6,13
90,11850,"Manilla LRT-1, 1984",Rail,Light Rail Transit,Philippines,PHL,Asia,,1984,12/1/1984,,,15,20
91,11852,"Marieholm - Olskroken, 2007",Rail,Conventional,Sweden,SWE,Europe,2004.0,2007,1/1/2007,312.8,"SEK, 2007",,
92,11854,Milan Line 5 phase 2,Rail,Metro,Italy,ITA,Europe,,2015,11/1/2015,796.0,"EUR, 2015",6.5,10
93,11856,Marseille Lines 1-2,Rail,Metro,France,FRA,Europe,,1992,1/1/1992,,,19.6,24
94,11865,Milan Passante Railway,Rail,Commuter Rail,Italy,ITA,Europe,1984.0,2008,6/7/2008,915.0,"EUR, 2008",7.8,10
95,11868,"Memphis Medical Center LRT Extension, 1997-2004",Rail,Light rail,United States of America,USA,North America,1997.0,2004,3/1/2004,58.1,"USD, 2004",3.14,6
96,11871,"Mexico City Metro Line 3, Indios Verdes to Universidad Possible overlap with Merewitz data",Rail,Metro,Mexico,MEX,South America,1967.0,1970,11/1/1970,1346.0,"USD, 1994",23.6,21
97,11873,"Mexico City Metro Line 5, Pantitlán to Politécnico",Rail,Metro,Mexico,MEX,South America,1980.0,1981,12/1/1981,979.0,"USD, 1994",15.7,13
98,11874,"Mexico City Metro Line 6, El Rosario to Martín Carrera",Rail,Metro,Mexico,MEX,South America,1983.0,1983,12/1/1983,651.0,"USD, 1994",13.9,11
99,11875,"Mexico City Metro Line 7,  El Rosario to Barranca del Muerto",Rail,Metro,Mexico,MEX,South America,1983.0,1984,12/1/1984,813.0,"USD, 1994",18.8,14
100,11876,Minneapolis Metro Blue Line (light rail),Rail,Light Rail Transit,United States of America,USA,North America,,2004,6/1/2004,672.0,"USD, 2003",19.3,19
101,11877,"Mexico City Metro Line 8, Garibaldi to Constitución de 1917",Rail,Metro,Mexico,MEX,South America,,1994,7/1/1994,1199.0,"USD, 1994",20.078,19
102,11878,"Mexico City Metro Line 9, Pantitlán to Tacubaya",Rail,Metro,Mexico,MEX,South America,1985.0,1987,8/1/1987,836.0,"USD, 1994",15.4,12
103,11879,"Mexico City Metro Line A, Patitlán to La Paz",Rail,Metro,Mexico,MEX,South America,,1991,1/1/1991,516.0,"USD, 1994",17.3,10
104,11880,Mexico City Metro Line B,Rail,Metro,Mexico,MEX,South America,,2000,1/1/2000,,,23.7,
105,11881,"Mexico City Metro Line B, Ciudad Azteca to Buenavista",Rail,Metro,Mexico,MEX,South America,,2000,1/1/2000,,,23.7,21
106,11883,"Miami DPM, 1980-1986",Rail,Conventional,United States of America,USA,North America,1980.0,1986,4/1/1986,175.0,"USD, 1988",3.2,9
107,11884,"Miami metro, 1978-1985; correct: 1977-1985",Rail,Heavy Rail,United States of America,USA,North America,1978.0,1988,1/1/1988,1341.0,"USD, 1988",33.8,20
108,11885,"Miami Omni and Brickell AGT extensions, 1987-1994",Rail,Light rail,United States of America,USA,North America,1987.0,1994,5/1/1994,228.0,"USD, 1991",4,12
109,11886,"Miami South Florida Tri-Rail Double Tracking Segment 5, 1998-2007",Rail,Heavy Rail,United States of America,USA,North America,1998.0,2007,6/1/2007,345.6,"USD, 2004",71.7,11
110,11887,Minneapolis Metro Green Line (light rail),Rail,Light Rail Transit,United States of America,USA,North America,,2014,6/1/2014,957.0,"USD, 2012",15.8,23
111,11889,"Minneapolis, Twin Cities Hiawatha LRT Corridor, DOUBLET, Preferred, 1982-2004",Rail,Light rail,United States of America,USA,North America,1982.0,2004,12/1/2004,696.7,"USD, 2003",19.31,17
112,11890,"Mjölby bangårds-ombyggnad, 2006",Rail,Shunting yard,Sweden,SWE,Europe,1994.0,2006,1/1/2006,486.0,"SEK, 2006",,
113,11893,Montreal metro,Rail,Metro,Canada,CAN,North America,1961.0,1967,1/1/1967,151.1,"USD, 1967",,
114,11895,Moordrecht-Gouda hoge brug en 4-sporig,Rail,Conventional,Netherlands,NLD,Europe,1987.0,1997,1/1/1997,75.64,"EUR, 1995",5.5,
115,11896,"Morgantown Personal Rapid Transit, U West Virginia, 1970-1976",Rail,Conventional,United States of America,USA,North America,1970.0,1976,1/1/1976,319.0,"USD, 2004",5.8,5
116,11898,Montpellier Line 1,Rail,Metro,France,FRA,Europe,,2000,7/1/2000,375.0,"EUR, 1999",15.2,29
117,11909,Montpellier Line 2,Rail,Metro,France,FRA,Europe,,2006,12/1/2006,455.0,"EUR, 2006",20,33
118,11920,Montreal Metro Laval extension,Rail,Heavy Rail,Canada,CAN,North America,,2007,4/1/2007,745.0,"CAD, 2005",5.2,3
119,11931,Murcia Line 1 and Line 1B,Rail,Light rail,Spain,ESP,Europe,,2011,5/1/2011,264.0,"EUR, 2009",17.5,28
120,11943,Nantes Line 3,Rail,Metro,France,FRA,Europe,,2000,8/1/2000,87.0,"EUR, 2003",4.6,12
121,11954,New York 7 extension,Rail,Heavy Rail,United States of America,USA,North America,,2015,9/1/2015,2420.0,"USD, 2011",1.6,1
122,12009,Orleans Line A,Rail,Metro,France,FRA,Europe,,2000,11/1/2000,317.0,"EUR, 1999",17.7,24
123,12020,Oslo Løren Line,Rail,Metro,Norway,NOR,Europe,,2016,4/1/2016,1330.0,"NOK, 2015",1.6,1
124,12031,Ottawa Confederation,Rail,Light Rail Transit,Canada,CAN,North America,,2019,9/1/2019,2100.0,"CAD, 2016",12.5,13
125,12042,Paris Line 12 to Front Populaire (extension),Rail,Metro,France,FRA,Europe,,2012,12/1/2012,295.0,"EUR, 2010",1.5,1
126,12054,Paris Line 13 to Courtilles,Rail,Metro,France,FRA,Europe,2005.0,2008,6/14/2008,236.0,"EUR, 2009",1.9,2
127,12065,Paris Line 14 - Madeleine to Francois Mitterand Library,Rail,Metro,France,FRA,Europe,1989.0,1998,10/1/1998,,"EUR, 1994",8.7,7
128,12076,Paris Line 14 (Meteor) - Bibliothèque François Mitterrand  to Olympiades Extension,Rail,Metro,France,FRA,Europe,,2007,6/1/2007,105.0,"EUR, 1999",0.7,1
129,12087,Paris Line 14 - Madeleine to  St. Lazare Extension,Rail,Metro,France,FRA,Europe,,2003,12/1/2003,,"EUR, 2001",0.7,1
130,12098,Paris Line 4 to Montrouge,Rail,Metro,France,FRA,Europe,,2013,3/1/2013,185.0,"EUR, 2010",1.5,1
131,12109,Paris Line 8  Créteil to Pointe-du-Lac,Rail,Metro,France,FRA,Europe,,2011,10/1/2011,83.0,"EUR, 2009",1.3,1
132,12120,Paris Tram 1 - Extension Les Courtilles to Asnieres Quatre-Routes (Phase 1),Rail,Light rail,France,FRA,Europe,,2019,10/1/2019,34.0,"EUR, 2018",0.9,1
133,12131,Paris Tram 1 - Extension to Gennevilliers,Rail,Light rail,France,FRA,Europe,,2012,11/1/2012,150.0,"EUR, 2011",4.9,1
134,12142,Paris Tram 1 - Extension to Noisy-le-Sec,Rail,Light rail,France,FRA,Europe,,2003,12/1/2003,29.0,"EUR, 2001",2.9,5
135,12153,Paris Tram 1 Initial Segment,Rail,Light rail,France,FRA,Europe,,1992,7/1/1992,141.0,"EUR, 1991",9,21
136,12165,Paris Tram 11,Rail,Light rail,France,FRA,Europe,,2017,7/1/2017,1000.0,"EUR, 2013",10.6,7
137,12176,Paris Tram 2 - Extension to Pont de Bezons,Rail,Light rail,France,FRA,Europe,,2012,11/1/2012,223.0,"EUR, 2010",4.2,7
138,12185,"NBS Cologne-Rhine/Main line (Frankfurt-Cologne ICE), Germany",Rail,Highspeed,Germany,DEU,Europe,,2002,1/1/2002,,,177,
139,12186,NBS Hannover Würzburg,Rail,Highspeed,Germany,DEU,Europe,1975.0,1991,1/1/1991,5343.000159,"EUR, 1995",327,
140,12187,Paris Tram 2 - Extension to Porte de Versailles,Rail,Light rail,France,FRA,Europe,,2009,11/1/2009,93.0,"EUR, 2007",2.3,4
141,12192,New Starts projekter USA,Rail,Conventional,United States of America,USA,North America,,,,,,,
142,12195,New York Airtrain,Rail,Airtrain,United States of America,USA,North America,,2003,12/1/2003,,,13.5,
143,12196,"Newark Elizabeth Rail Link MOS-1, 1997-2006",Rail,Light rail,United States of America,USA,North America,1997.0,2006,7/1/2006,207.7,"USD, 2004",1.61,4
144,12198,Paris Tram 2 - Initial,Rail,Light rail,France,FRA,Europe,,1997,7/1/1997,105.0,"EUR, 1995",11.4,13
145,12209,Paris Tram 3a - initial,Rail,Light rail,France,FRA,Europe,,2006,12/1/2006,229.0,"EUR, 2007",7.9,17
146,12220,Paris Tram 4 - branch  to Montfermeil,Rail,Light rail,France,FRA,Europe,,2019,12/1/2019,270.0,"EUR, 2018",6.6,11
147,12231,Paris Tram 5,Rail,Light rail,France,FRA,Europe,,2013,7/1/2013,159.0,"EUR, 2010",6.6,16
148,12242,Paris Tram 6 (initial + extension),Rail,Light rail,France,FRA,Europe,,2016,5/1/2016,385.0,"EUR, 2013",14,21
149,12253,Paris Tram 7,Rail,Light rail,France,FRA,Europe,,2013,11/1/2013,292.0,"EUR, 2011",11.2,18
150,12264,Paris Tram 8,Rail,Light rail,France,FRA,Europe,,2014,12/1/2014,250.0,"EUR, 2012",8.5,17
151,12276,Phoenix Central Mesa Extension,Rail,Light Rail Transit,United States of America,USA,North America,2012.0,2015,8/1/2015,197.0,"USD, 2015",5,4
152,12287,Phoenix Gilbert Road Extension,Rail,Light Rail Transit,United States of America,USA,North America,2016.0,2019,5/1/2019,184.0,"USD, 2018",3.1,2
153,12298,Phoenix Northwest Extension Phase 1,Rail,Light Rail Transit,United States of America,USA,North America,2013.0,2016,3/1/2016,327.0,"USD, 2015",5.2,3
154,12342,Portland Orange Line light rail,Rail,Light Rail Transit,United States of America,USA,North America,2011.0,2015,9/1/2015,1495.0,"USD, 2013",11.7,10
155,12346,Nootdorpboog bridge,Rail,Conventional,Netherlands,NLD,Europe,2001.0,2005,1/1/2005,33.63,"EUR, 1995",1.5,
156,12364,Rennes Metro Line A,Rail,rapid transit,France,FRA,Europe,,2002,3/1/2002,527.0,"EUR, 2000",9.5,15
157,12373,"Nuremberg-Ingolstadt HSR, Germany",Rail,Highspeed,Germany,DEU,Europe,1994.0,2006,1/1/2006,3570.0,"EUR, 2003",89,
158,12375,Rennes Metro Line B,Rail,rapid transit,France,FRA,Europe,,2021,9/1/2021,1194.0,"EUR, 2017",14.1,9
159,12377,"Nybro, 2008",Rail,Conventional,Sweden,SWE,Europe,1998.0,2008,1/1/2008,108.5,"SEK, 2008",1,
160,12384,Oslo metro,Rail,Metro,Norway,NOR,Europe,1954.0,1967,1/1/1967,71.8,"USD, 1967",84.2,
161,12385,"Østfoldbanen Ski-Moss, expansion to double track",Rail,Conventional,Norway,NOR,Europe,1989.0,1996,1/1/1996,1563.0,"NOK, 1995",35.87,
162,12387,Rome Line B1 (Bologna to Conca d'Oro),Rail,Metro,Italy,ITA,Europe,,2012,6/1/2012,513.0,"EUR, 2009",4,3
163,12388,"Østfoldbanen Tveter-Kjenn, expansion to double track",Rail,Conventional,Norway,NOR,Europe,1986.0,1989,1/1/1989,112.4,"NOK, 1989",6.5,
164,12389,"Østfoldbanen, Såstad-Haug",Rail,Conventional,Norway,NOR,Europe,1995.0,2000,6/1/2000,,,7,
165,12390,"Ottawa North_South LRT, em fra Stephen Fanjoy, 17,12,06",Rail,Light rail,Canada,CAN,North America,,,,,,,
166,12391,"Ottawa O-Train, em fra Stephen Fanjoy, 17,12,06",Rail,Light rail,Canada,CAN,North America,,2001,10/1/2001,,,,
167,12392,"Öxnered–Trollhättan, 2006",Rail,Conventional,Sweden,SWE,Europe,1994.0,2006,1/1/2006,1063.0,"SEK, 2006",,
168,12393,"Öxnered, 2005",Rail,Conventional,Sweden,SWE,Europe,1998.0,2005,1/1/2005,166.5,"SEK, 2005",,
169,12396,Paris Auber Nanterre (RER A),Rail,Metro,France,FRA,Europe,1964.0,1971,1/1/1971,207.864235,"EUR, 1971",8,
170,12397,Paris Charenton Ecoles -l'Echat (Paris Metro 8),Rail,Metro,France,FRA,Europe,1967.0,1969,1/1/1969,13.18683999,"EUR, 1969",,
171,12398,Rome Line B1 (extension Porto di Roma to Jonio),Rail,Metro,Italy,ITA,Europe,2009.0,2015,4/1/2015,200.0,"EUR, 2012",1.5,1
172,12399,Paris Gambetta Gallieni (Paris Metro 3),Rail,Metro,France,FRA,Europe,1967.0,1968,1/1/1968,20.79404595,"EUR, 1968",,
173,12400,Paris Metro 14 (Meteor) (section 1: Madeleine - Bibliothèque François Mitterrand; section 2: Madeleine - Saint Lazare; section 3: Bibliothèque François Mitterrand - Olympiades),Rail,Metro,France,FRA,Europe,1989.0,1998,1/1/1998,197.0,"EUR, 1989",7.2,9
174,12401,Paris Nation Boissy/St Leger (RER A),Rail,Metro,France,FRA,Europe,1964.0,1971,1/1/1971,79.25824406,"EUR, 1971",17.5,11
175,12405,"Perth Mandurah Rail, Perth",Rail,Conventional,Australia,AUS,Oceania,,,12/23/2007,1320.0,AUD 2006,70,10
176,12413,"Pittsburgh LRT Stage II Reconstruction, 1996-2005",Rail,Light rail,United States of America,USA,North America,1996.0,2005,1/1/2005,385.0,"USD, 2002",8.85,10
177,12414,"Pittsburgh LRT, South Hills Reconstruction",Rail,Light rail,United States of America,USA,North America,,1987,1/1/1989,622.0,"USD, 1989",16.9,13
178,12421,"Portland Airport MAX Extension, 1995-2001; 110804 krause em bf",Rail,Conventional,United States of America,USA,North America,1995.0,2001,1/1/2001,127.0,"USD, 2000",8.9,
179,12422,"Portland Interstate MAX LRT Extension, 1998-2004",Rail,Light rail,United States of America,USA,North America,1998.0,2004,5/1/2004,323.6,"USD, 2004",9.3,10
180,12425,"Porto Alegre Metro, 1976 -1985",Rail,Metro,Brazil,BRA,South America,1976.0,1985,3/1/1985,270.0,USD,33.4,17
181,12431,Sacramento Gold Line Extension Folsom Corridor,Rail,Light Rail Transit,United States of America,USA,North America,1999.0,2005,10/1/2005,268.0,"USD, 2002",20.8,10
182,12438,Busan Metro,Rail,Metro,Republic of Korea,KOR,Asia,1979.0,1985,,975100.0,KRW,,
183,12440,QLD 01,Rail,Conventional,Australia,AUS,Oceania,,,,,,,
184,12442,Sacramento Riverfront Green Line,Rail,Light Rail Transit,United States of America,USA,North America,,2012,6/1/2012,44.0,"USD, 2011",1.6,2
185,12448,Quarry Bay Congestion Relief Works (QBR),Rail,Metro,"China, Hong Kong Special Administrative Region",HKG,Asia,1997.0,2001,,3100.0,"HKD, 1999",1.9,
